,Sentence #,Word,POS,Tag
96,6,made,VERB,O
97,6,NPO,PROPN,O
98,6,with,ADP,O
99,6,IVF,PROPN,O
100,6,",",PUNCT,O
101,6,placed,VERB,O
102,6,on,ADP,O
103,6,Ampicillin,PROPN,O
104,6,/,SYM,O
105,6,Levofloxacin,PROPN,O
106,6,/,SYM,O
107,6,Flagyl,PROPN,O
108,6,and,CCONJ,O
109,6,underwent,VERB,O
110,6,IR,PROPN,B
111,6,placement,NOUN,I
112,6,of,ADP,I
113,6,a,DET,I
114,6,drainage,NOUN,I
115,6,catheter,NOUN,I
116,6,for,ADP,O
117,6,his,PRON,B
118,6,abdominopelvic,ADJ,I
119,6,fluid,NOUN,I
120,6,collection,NOUN,I
121,6,.,PUNCT,O
122,7,He,PRON,O
123,7,was,AUX,O
124,7,transferred,VERB,O
125,7,to,ADP,O
126,7,the,DET,O
127,7,floor,NOUN,O
128,7,but,CCONJ,O
129,7,a,DET,O
130,7,few,ADJ,O
131,7,days,NOUN,O
132,7,later,ADV,O
133,7,began,VERB,O
134,7,to,PART,O
135,7,show,VERB,O
136,7,signs,NOUN,O
137,7,of,ADP,O
138,7,respiratory,ADJ,O
139,7,distress,NOUN,O
140,7,and,CCONJ,O
141,7,was,AUX,O
142,7,transferred,VERB,O
143,7,back,ADV,O
144,7,to,ADP,O
145,7,the,DET,O
146,7,CMED,PROPN,O
147,7,CSRU,PROPN,O
148,7,for,ADP,O
149,7,reintubation,NOUN,B
150,7,for,ADP,O
151,7,likely,ADJ,O
152,7,aspiration,NOUN,O
153,7,event,NOUN,O
154,7,leading,VERB,O
155,7,to,ADP,O
156,7,worsening,VERB,B
157,7,pneumonia,NOUN,O
158,7,as,ADV,O
159,7,well,ADV,O
160,7,as,ADP,O
161,7,some,DET,O
162,7,component,NOUN,O
163,7,of,ADP,O
164,7,pulm,NOUN,O
165,7,edema,NOUN,O
166,7,.,PUNCT,O
167,8,5),NUM,O
168,8,Anemia,NOUN,O
169,8,-,PUNCT,O
170,8,previous,ADJ,B
171,8,w/u,PROPN,I
172,8,c/w,PROPN,O
173,8,ACD,PROPN,O
174,8,(,PUNCT,O
175,8,elev,NOUN,B
176,8,ferritin,NOUN,I
177,8,",",PUNCT,O
178,8,low,ADJ,O
179,8,transferrin,NOUN,O
180,8,saturation,NOUN,O
181,8,),PUNCT,O
182,8,.,PUNCT,O
183,10,20-01-2014,NUM,O
184,10,05:30,NUM,O
185,10,AM,AUX,O
186,10,BLOOD,NOUN,O
187,10,ALT,PROPN,O
188,10,-,PUNCT,O
189,10,15,PROPN,O
190,10,AST,PROPN,O
191,10,-,PUNCT,O
192,10,22,NUM,O
193,10,LD,PROPN,O
194,10,(,PUNCT,O
195,10,LDH,PROPN,O
196,10,)-,PRON,O
197,10,254,NUM,O
198,10,*,PUNCT,O
199,10,CK,PROPN,O
200,10,(,PUNCT,O
201,10,CPK,PROPN,O
202,10,)-,X,O
203,10,398,NUM,O
204,10,*,PUNCT,O
205,10,AlkPhos,PROPN,O
206,10,-,PUNCT,O
207,10,125,NUM,O
208,10,*,PUNCT,O
209,10,TotBili,PROPN,O
210,10,-,PUNCT,O
211,10,0.5,NUM,O
212,12,Abdomen,NOUN,O
213,12,is,AUX,O
214,12,obese,ADJ,O
215,12,",",PUNCT,O
216,12,nontender,NOUN,O
217,12,",",PUNCT,O
218,12,decreased,VERB,O
219,12,bowel,NOUN,O
220,12,sounds,NOUN,O
221,12,.,PUNCT,O
222,13,Initial,ADJ,O
223,13,CBC,PROPN,O
224,13,had,VERB,O
225,13,a,DET,O
226,13,white,ADJ,O
227,13,count,NOUN,O
228,13,of,ADP,O
229,13,16,NUM,O
230,13,",",PUNCT,O
231,13,platelet,ADJ,O
232,13,count,NOUN,O
233,13,of,ADP,O
234,13,204,NUM,O
235,13,",",PUNCT,O
236,13,53,NUM,O
237,13,polys,NOUN,O
238,13,and,CCONJ,O
239,13,0,NUM,O
240,13,bands,NOUN,O
241,13,.,PUNCT,O
242,17,Urinalysis,PROPN,B
243,17,showed,VERB,O
244,17,specific,ADJ,O
245,17,gravity,NOUN,O
246,17,1.005,NUM,O
247,17,",",PUNCT,O
248,17,pH,NOUN,O
249,17,8,NUM,O
250,17,",",PUNCT,O
251,17,positive,ADJ,O
252,17,proteins,NOUN,O
253,17,",",PUNCT,O
254,17,positive,ADJ,B
255,17,red,ADJ,O
256,17,blood,NOUN,O
257,17,cells,NOUN,O
258,17,",",PUNCT,O
259,17,negative,ADJ,O
260,17,white,ADJ,O
261,17,cell,NOUN,O
262,17,count,NOUN,O
263,17,",",PUNCT,O
264,17,positive,ADJ,O
265,17,glucose,NOUN,O
266,17,.,PUNCT,O
267,18,In,ADP,O
268,18,general,ADJ,O
269,18,",",PUNCT,O
270,18,the,DET,O
271,18,patient,NOUN,O
272,18,was,AUX,O
273,18,a,DET,O
274,18,thin,ADJ,O
275,18,white,ADJ,O
276,18,male,NOUN,O
277,18,",",PUNCT,O
278,18,lying,VERB,O
279,18,in,ADP,O
280,18,bed,NOUN,O
281,18,",",PUNCT,O
282,18,in,ADP,O
283,18,no,DET,O
284,18,acute,ADJ,O
285,18,distress,NOUN,O
286,18,",",PUNCT,O
287,18,with,ADP,O
288,18,a,DET,O
289,18,hoarse,ADJ,O
290,18,voice,NOUN,O
291,18,.,PUNCT,O
292,19,CP,PROPN,O
293,19,/,SYM,O
294,19,burning,NOUN,B
295,19,lasted,VERB,O
296,19,several,ADJ,O
297,19,hours,NOUN,O
298,19,and,CCONJ,O
299,19,was,AUX,O
300,19,relieved,VERB,O
301,19,after,ADP,O
302,19,she,PRON,O
303,19,received,VERB,O
304,19,Maalox,PROPN,O
305,19,",",PUNCT,O
306,19,lidocaine,NOUN,B
307,19,",",PUNCT,O
308,19,and,CCONJ,O
309,19,NTG,PROPN,O
310,19,in,ADP,O
311,19,the,DET,O
312,19,ED,PROPN,O
313,19,.,PUNCT,O
314,20,A,DET,B
315,20,colonoscopy,NOUN,I
316,20,showed,VERB,O
317,20,anteriordysplasia,NOUN,O
318,20,",",PUNCT,O
319,20,no,DET,O
320,20,bleeding,NOUN,B
321,20,was,AUX,O
322,20,seen,VERB,O
323,20,.,PUNCT,O
324,21,During,ADP,O
325,21,the,DET,O
326,21,operation,NOUN,O
327,21,",",PUNCT,O
328,21,the,DET,O
329,21,patient,NOUN,O
330,21,received,VERB,O
331,21,13,NUM,O
332,21,units,NOUN,O
333,21,of,ADP,O
334,21,packed,VERB,B
335,21,red,ADJ,I
336,21,blood,NOUN,I
337,21,cells,NOUN,I
338,21,",",PUNCT,O
339,21,four,NUM,O
340,21,units,NOUN,O
341,21,of,ADP,O
342,21,fresh,ADJ,O
343,21,frozen,ADJ,O
344,21,plasma,NOUN,O
345,21,and,CCONJ,O
346,21,one,NUM,O
347,21,unit,NOUN,O
348,21,of,ADP,O
349,21,platelets,NOUN,O
350,21,with,ADP,O
351,21,an,DET,B
352,21,estimated,VERB,I
353,21,blood,NOUN,I
354,21,loss,NOUN,I
355,21,of,ADP,O
356,21,1500,NUM,O
357,21,cc,NOUN,O
358,21,.,PUNCT,O
359,23,The,DET,O
360,23,sodium,NOUN,O
361,23,was,AUX,O
362,23,142,NUM,O
363,23,;,PUNCT,O
364,23,potassium,NOUN,O
365,23,4.5,NUM,O
366,23,;,PUNCT,O
367,23,chloride,NOUN,O
368,23,105,NUM,O
369,23,;,PUNCT,O
370,23,bicarbonate,VERB,O
371,23,27,NUM,O
372,23,;,PUNCT,O
373,23,BUN,PROPN,O
374,23,and,CCONJ,O
375,23,creatinine,NOUN,O
376,23,31,NUM,O
377,23,and,CCONJ,O
378,23,1.3,NUM,O
379,23,;,PUNCT,O
380,23,glucose,NOUN,O
381,23,107,NUM,O
382,23,;,PUNCT,O
383,23,total,ADJ,O
384,23,protein,NOUN,O
385,23,7.7,NUM,O
386,23,;,PUNCT,O
387,23,albumin,ADJ,O
388,23,3.2,NUM,O
389,23,;,PUNCT,O
390,23,globulin,NOUN,O
391,23,4.5,NUM,O
392,23,;,PUNCT,O
393,23,uric,ADJ,O
394,23,acid,NOUN,O
395,23,4.2,NUM,O
396,23,;,PUNCT,O
397,23,alkaline,NOUN,O
398,23,phosphatase,NOUN,O
399,23,114,NUM,O
400,23,;,PUNCT,O
401,23,serum,NOUN,O
402,23,glutamic,ADJ,O
403,23,oxaloacetic,ADJ,O
404,23,transaminase,NOUN,O
405,23,46,NUM,O
406,23,;,PUNCT,O
407,23,lactic,ADJ,O
408,23,acid,NOUN,O
409,23,dehydrogenase,NOUN,O
410,23,370,NUM,O
411,23,;,PUNCT,O
412,23,white,ADJ,O
413,23,blood,NOUN,O
414,23,count,VERB,O
415,23,"11,000",NUM,O
416,23,with,ADP,O
417,23,83,NUM,O
418,23,polymorphonuclear,NOUN,O
419,23,leukocytes,NOUN,O
420,23,;,PUNCT,O
421,23,hematocrit,VERB,O
422,23,42,NUM,O
423,23,;,PUNCT,O
424,23,platelet,ADJ,O
425,23,count,NOUN,O
426,23,"2,27,000",NUM,O
427,23,.,PUNCT,O
428,25,A,DET,B
429,25,CT,PROPN,I
430,25,abd,PROPN,I
431,25,showed,VERB,O
432,25,8mm,ADJ,B
433,25,obstructing,VERB,I
434,25,stone,NOUN,I
435,25,",",PUNCT,O
436,25,hydro,NOUN,O
437,25,with,ADP,O
438,25,stranding,VERB,O
439,25,consistent,ADJ,O
440,25,with,ADP,O
441,25,pylonephritis,NOUN,O
442,25,.,PUNCT,O
443,26,She,PRON,O
444,26,was,AUX,O
445,26,treated,VERB,O
446,26,briefly,ADV,O
447,26,with,ADP,O
448,26,levofloxacin,NOUN,O
449,26,because,SCONJ,O
450,26,of,ADP,O
451,26,the,DET,O
452,26,gram-positive,ADJ,O
453,26,cocci,NOUN,O
454,26,in,ADP,O
455,26,her,PRON,O
456,26,sputum,NOUN,O
457,26,culture,NOUN,O
458,26,;,PUNCT,O
459,26,however,ADV,O
460,26,",",PUNCT,O
461,26,her,PRON,B
462,26,symptoms,NOUN,I
463,26,were,AUX,O
464,26,felt,VERB,O
465,26,to,PART,O
466,26,be,VERB,O
467,26,consistent,ADJ,O
468,26,with,ADP,O
469,26,a,DET,O
470,26,viral,ADJ,O
471,26,upper,ADJ,O
472,26,respiratory,ADJ,O
473,26,infection,NOUN,O
474,26,",",PUNCT,O
475,26,and,CCONJ,O
476,26,levofloxacin,PROPN,B
477,26,was,AUX,O
478,26,continued,VERB,O
479,26,at,ADP,O
480,26,the,DET,O
481,26,time,NOUN,O
482,26,of,ADP,O
483,26,discharge,NOUN,O
484,26,.,PUNCT,O
485,28,Pathology,NOUN,B
486,28,revealed,VERB,O
487,28,poorly,ADV,B
488,28,differentiated,VERB,O
489,28,squamous,ADJ,O
490,28,cell,NOUN,O
491,28,carcinoma,NOUN,O
492,28,of,ADP,O
493,28,the,DET,O
494,28,cervix,NOUN,O
495,28,with,ADP,O
496,28,spots,NOUN,O
497,28,of,ADP,O
498,28,vaginal,ADJ,O
499,28,margins,NOUN,O
500,28,and,CCONJ,O
501,28,metastatic,ADJ,O
502,28,squamous,ADJ,O
503,28,cell,NOUN,O
504,28,carcinoma,NOUN,O
505,28,in,ADP,O
506,28,the,DET,O
507,28,cardinal,ADJ,O
508,28,ligaments,NOUN,O
509,28,with,ADP,O
510,28,extensive,ADJ,O
511,28,lymphatic,ADJ,O
512,28,invasion,NOUN,O
513,28,.,PUNCT,O
514,29,Urine,NOUN,B
515,29,cultures,NOUN,I
516,29,were,AUX,O
517,29,significant,ADJ,O
518,29,for,ADP,O
519,29,Klebsiella,PROPN,B
520,29,UTI,PROPN,I
521,29,and,CCONJ,O
522,29,sputum,NOUN,O
523,29,cultures,NOUN,O
524,29,were,VERB,O
525,29,significant,ADJ,O
526,29,for,ADP,O
527,29,MRSA,PROPN,O
528,29,.,PUNCT,O
529,31,Given,VERB,O
530,31,amio,NOUN,O
531,31,bolu,NOUN,O
532,31,",",PUNCT,O
533,31,started,VERB,O
534,31,on,ADP,O
535,31,gtt,NOUN,O
536,31,and,CCONJ,O
537,31,transferred,VERB,O
538,31,to,ADP,O
539,31,NVH,PROPN,O
540,31,for,ADP,O
541,31,further,ADJ,O
542,31,evaluation,NOUN,O
543,31,.,PUNCT,O
544,34,The,DET,O
545,34,patient,NOUN,O
546,34,did,VERB,O
547,34,well,ADV,O
548,34,and,CCONJ,O
549,34,her,PRON,O
550,34,suprapubic,ADJ,O
551,34,tube,NOUN,O
552,34,was,AUX,O
553,34,clamped,VERB,O
554,34,starting,VERB,O
555,34,on,ADP,O
556,34,postoperative,ADJ,O
557,34,day,NOUN,O
558,34,four,NUM,O
559,34,.,PUNCT,O
560,36,pelvic,ADJ,O
561,36,organ,NOUN,O
562,36,prolapse,NOUN,O
563,36,stress,NOUN,O
564,36,urinary,NOUN,O
565,36,incontinence,NOUN,O
566,36,retroperitoneal,ADJ,O
567,36,bleed,NOUN,O
568,36,hemoperitoneum,NOUN,O
569,37,She,PRON,O
570,37,was,AUX,O
571,37,started,VERB,O
572,37,empirically,ADV,O
573,37,on,ADP,O
574,37,Bactrim,PROPN,O
575,37,",",PUNCT,O
576,37,while,SCONJ,O
577,37,culture,NOUN,O
578,37,and,CCONJ,O
579,37,sensitivity,NOUN,O
580,37,results,NOUN,O
581,37,were,AUX,O
582,37,pending,VERB,O
583,37,and,CCONJ,O
584,37,remained,VERB,O
585,37,pending,VERB,O
586,37,at,ADP,O
587,37,the,DET,O
588,37,time,NOUN,O
589,37,of,ADP,O
590,37,this,DET,O
591,37,dictation,NOUN,O
592,37,.,PUNCT,O
593,38,A,DET,B
594,38,small,ADJ,I
595,38,polyp,NOUN,I
596,38,was,AUX,O
597,38,found,VERB,O
598,38,in,ADP,O
599,38,the,DET,O
600,38,fundus,NOUN,O
601,38,which,DET,O
602,38,stigmata,NOUN,O
603,38,of,ADP,O
604,38,old,ADJ,O
605,38,bleeding,NOUN,O
606,38,;,PUNCT,O
607,38,an,DET,B
608,38,Endoclip,PROPN,I
609,38,was,AUX,O
610,38,applied,VERB,O
611,38,to,ADP,O
612,38,this,DET,O
613,38,.,PUNCT,O
614,39,The,DET,O
615,39,patient,NOUN,O
616,39,'s,PART,O
617,39,treatment,NOUN,O
618,39,will,AUX,O
619,39,include,VERB,O
620,39,typical,ADJ,O
621,39,peripherally,ADV,O
622,39,inserted,VERB,O
623,39,central,ADJ,O
624,39,catheter,NOUN,O
625,39,line,NOUN,O
626,39,care,NOUN,O
627,39,with,ADP,O
628,39,frequent,ADJ,O
629,39,wound,NOUN,O
630,39,checks,NOUN,O
631,39,.,PUNCT,O
632,40,The,DET,O
633,40,lung,NOUN,O
634,40,sounds,NOUN,O
635,40,were,AUX,O
636,40,rhonchorous,ADJ,B
637,40,",",PUNCT,O
638,40,otherwise,ADV,O
639,40,clear,ADJ,O
640,40,to,ADP,O
641,40,auscultation,NOUN,B
642,40,and,CCONJ,O
643,40,percussion,NOUN,O
644,40,.,PUNCT,O
645,41,Patient,PROPN,O
646,41,was,AUX,O
647,41,continued,VERB,O
648,41,on,ADP,O
649,41,BID,PROPN,O
650,41,PPI,PROPN,O
651,41,",",PUNCT,O
652,41,H,NOUN,O
653,41,.,PUNCT,O
654,42,Mychelia,PROPN,O
655,42,demonstrated,VERB,O
656,42,slow,ADJ,O
657,42,gastrointestinal,ADJ,O
658,42,motility,NOUN,O
659,42,and,CCONJ,O
660,42,abdominal,ADJ,B
661,42,distention,NOUN,I
662,42,felt,VERB,O
663,42,to,PART,O
664,42,be,VERB,O
665,42,due,ADJ,O
666,42,to,ADP,O
667,42,CPAP,PROPN,B
668,42,.,PUNCT,O
669,44,The,DET,O
670,44,patient,NOUN,O
671,44,underwent,VERB,O
672,44,cardiac,ADJ,B
673,44,catheterization,NOUN,I
674,44,on,ADP,O
675,44,17-10-2011,NUM,O
676,44,which,DET,O
677,44,revealed,VERB,O
678,44,a,DET,B
679,44,20%,NUM,I
680,44,left,VERB,I
681,44,vein,NOUN,I
682,44,osteal,ADJ,I
683,44,lesion,NOUN,I
684,44,as,ADV,O
685,44,well,ADV,O
686,44,as,ADP,O
687,44,70%,NUM,O
688,44,LAD,PROPN,O
689,44,lesion,NOUN,O
690,44,and,CCONJ,O
691,44,an,DET,O
692,44,80%,ADJ,O
693,44,right,ADJ,O
694,44,coronary,ADJ,O
695,44,.,PUNCT,O
696,45,Intially,ADV,O
697,45,concern,NOUN,O
698,45,for,ADP,O
699,45,sepsis,NOUN,B
700,45,in,ADP,O
701,45,the,DET,O
702,45,setting,NOUN,O
703,45,of,ADP,O
704,45,fevers,NOUN,B
705,45,and,CCONJ,O
706,45,high,ADJ,O
707,45,blood,NOUN,O
708,45,count,NOUN,O
709,45,.,PUNCT,O
710,47,Type,NOUN,O
711,47,-,PUNCT,O
712,47,ART,NOUN,O
713,47,Temp,PROPN,O
714,47,-,PUNCT,O
715,47,37.2,NUM,O
716,47,Rates,PROPN,O
717,47,-,PUNCT,O
718,47,/12,PUNCT,O
719,47,Tidal,ADJ,O
720,47,V,NOUN,O
721,47,-,PUNCT,O
722,47,560,NUM,O
723,48,Creatinine,NOUN,B
724,48,elevation,NOUN,I
725,48,appears,VERB,O
726,48,to,PART,O
727,48,be,AUX,O
728,48,related,VERB,O
729,48,to,ADP,O
730,48,both,DET,O
731,48,elevated,ADJ,O
732,48,abdominal,ADJ,O
733,48,pressures,NOUN,O
734,48,from,ADP,O
735,48,ascites,NOUN,O
736,48,as,ADV,O
737,48,well,ADV,O
738,48,as,ADP,O
739,48,to,PART,O
740,48,attempts,NOUN,O
741,48,at,ADP,O
742,48,diuresis,NOUN,B
743,48,.,PUNCT,O
744,49,She,PRON,O
745,49,continued,VERB,O
746,49,to,PART,O
747,49,remained,VERB,O
748,49,nauseated,ADJ,B
749,49,so,SCONJ,O
750,49,she,PRON,O
751,49,was,AUX,O
752,49,treated,VERB,O
753,49,with,ADP,O
754,49,phenergan,NOUN,O
755,49,",",PUNCT,O
756,49,anzemet,NOUN,O
757,49,",",PUNCT,O
758,49,zofran,PROPN,O
759,49,",",PUNCT,O
760,49,and,CCONJ,O
761,49,ativan,NOUN,B
762,49,.,PUNCT,O
763,50,Since,SCONJ,O
764,50,she,PRON,O
765,50,was,VERB,O
766,50,at,ADP,O
767,50,high,ADJ,O
768,50,risk,NOUN,O
769,50,for,ADP,O
770,50,both,CCONJ,O
771,50,local,ADJ,O
772,50,and,CCONJ,O
773,50,metastatic,ADJ,O
774,50,recurrence,NOUN,O
775,50,of,ADP,O
776,50,her,PRON,B
777,50,tumor,NOUN,I
778,50,",",PUNCT,O
779,50,she,PRON,O
780,50,received,VERB,O
781,50,both,DET,O
782,50,systemic,ADJ,B
783,50,chemotherapy,NOUN,I
784,50,and,CCONJ,O
785,50,radiation,NOUN,O
786,50,therapy,NOUN,O
787,50,.,PUNCT,O
788,51,Cardiology,NOUN,O
789,51,felt,VERB,O
790,51,that,SCONJ,O
791,51,follow-up,NOUN,B
792,51,echo,NOUN,I
793,51,was,AUX,O
794,51,indicated,VERB,O
795,51,on,ADP,O
796,51,Jun-18,NUM,O
797,51,as,ADP,O
798,51,she,PRON,O
799,51,had,VERB,O
800,51,another,DET,O
801,51,echocardiogram,NOUN,O
802,51,which,DET,O
803,51,showed,VERB,O
804,51,no,DET,O
805,51,change,NOUN,O
806,51,or,CCONJ,O
807,51,evidence,NOUN,O
808,51,of,ADP,O
809,51,tamponade,NOUN,B
810,51,.,PUNCT,O
811,54,3,X,O
812,54,),PUNCT,O
813,54,The,DET,O
814,54,patient,NOUN,O
815,54,will,AUX,O
816,54,continue,VERB,O
817,54,to,PART,O
818,54,have,VERB,O
819,54,her,PRON,O
820,54,CBC,PROPN,O
821,54,",",PUNCT,O
822,54,LDH,PROPN,O
823,54,",",PUNCT,O
824,54,bilirubin,NOUN,O
825,54,",",PUNCT,O
826,54,chem-7,PROPN,O
827,54,and,CCONJ,O
828,54,magnesium,NOUN,O
829,54,and,CCONJ,O
830,54,calcium,NOUN,O
831,54,checked,VERB,O
832,54,with,ADP,O
833,54,each,DET,O
834,54,dialysis,NOUN,O
835,54,and,CCONJ,O
836,54,the,DET,O
837,54,results,NOUN,O
838,54,will,AUX,O
839,54,be,AUX,O
840,54,faxed,VERB,O
841,54,to,ADP,O
842,54,Dr.,PROPN,O
843,54,Ian,PROPN,O
844,54,Zineisfreierm,PROPN,O
845,54,",",PUNCT,O
846,54,the,DET,O
847,54,hematology,NOUN,O
848,54,attending,VERB,O
849,54,at,ADP,O
850,54,fax,NOUN,O
851,54,number,NOUN,O
852,54,751-329-8840,X,O
853,54,.,PUNCT,O
854,55,Her,PRON,O
855,55,presentation,NOUN,O
856,55,was,AUX,O
857,55,thought,VERB,O
858,55,likely,ADV,O
859,55,due,ADP,O
860,55,to,ADP,O
861,55,urosepsis,VERB,O
862,55,given,VERB,O
863,55,h/o,PROPN,O
864,55,foul,ADJ,O
865,55,smelling,VERB,O
866,55,urine,NOUN,O
867,55,and,CCONJ,O
868,55,in,ADP,O
869,55,setting,NOUN,O
870,55,of,ADP,O
871,55,stone,NOUN,O
872,55,w/,X,O
873,55,hydro,NOUN,B
874,55,+,CCONJ,O
875,55,pyelo,ADJ,B
876,55,by,ADP,O
877,55,CT.,PROPN,O
878,55,The,DET,O
879,55,patient,NOUN,O
880,55,went,VERB,O
881,55,to,ADP,O
882,55,IR,PROPN,O
883,55,on,ADP,O
884,55,30-11-2014,NUM,O
885,55,given,VERB,O
886,55,evidence,NOUN,O
887,55,of,ADP,O
888,55,right,ADJ,O
889,55,hydronephrosis,NOUN,O
890,55,on,ADP,O
891,55,imaging,VERB,O
892,55,for,ADP,O
893,55,decompression,NOUN,O
894,55,and,CCONJ,O
895,55,drainage.,NOUN,O
896,55,Upon,SCONJ,O
897,55,admission,NOUN,O
898,55,",",PUNCT,O
899,55,she,PRON,O
900,55,was,AUX,O
901,55,treated,VERB,O
902,55,with,ADP,O
903,55,Vancomycin,PROPN,O
904,55,and,CCONJ,O
905,55,Gentamycin,PROPN,O
906,55,and,CCONJ,O
907,55,Flagyl,PROPN,O
908,55,.,PUNCT,O
909,56,His,PRON,O
910,56,headache,NOUN,O
911,56,improved,VERB,O
912,56,",",PUNCT,O
913,56,but,CCONJ,O
914,56,her,PRON,O
915,56,remained,VERB,O
916,56,profoundly,ADV,O
917,56,weak,ADJ,O
918,56,and,CCONJ,O
919,56,intermittently,ADV,O
920,56,febrile,ADJ,O
921,56,with,ADP,O
922,56,dyspnea,NOUN,O
923,56,.,PUNCT,O
924,57,Hearing,VERB,O
925,57,screen,NOUN,O
926,57,was,AUX,O
927,57,performed,VERB,O
928,57,with,ADP,O
929,57,automated,VERB,O
930,57,auditory,ADJ,O
931,57,brainstem,NOUN,O
932,57,responses,NOUN,O
933,57,and,CCONJ,O
934,57,was,VERB,O
935,57,normal,ADJ,O
936,57,on,ADP,O
937,57,24-11-2014,NUM,O
938,57,.,PUNCT,O
939,59,BASOS,PROPN,O
940,59,-,SYM,O
941,59,0,NUM,O
942,59,ATYPS,PROPN,O
943,59,-,PUNCT,O
944,59,0,NUM,O
945,59,METAS,PROPN,O
946,59,-,PUNCT,O
947,59,0,NUM,O
948,59,MYELOS,PROPN,O
949,59,-,PUNCT,O
950,59,0,NUM,O
951,60,The,DET,O
952,60,patient,NOUN,O
953,60,is,AUX,O
954,60,a,DET,O
955,60,65-year-old,NUM,O
956,60,man,NOUN,O
957,60,with,ADP,O
958,60,refractory,ADJ,O
959,60,CLL,PROPN,O
960,60,",",PUNCT,O
961,60,status,NOUN,O
962,60,post,X,O
963,60,non-myeloblative,ADJ,O
964,60,stem,NOUN,O
965,60,cell,NOUN,O
966,60,transplant,NOUN,O
967,60,approximately,ADV,O
968,60,nine,NUM,O
969,60,months,NOUN,O
970,60,prior,ADV,O
971,60,to,ADP,O
972,60,admission,NOUN,O
973,60,",",PUNCT,O
974,60,and,CCONJ,O
975,60,status,NOUN,O
976,60,post,NOUN,O
977,60,prolonged,VERB,O
978,60,recent,ADJ,O
979,60,Retelk,PROPN,O
980,60,County,PROPN,O
981,60,Medical,PROPN,O
982,60,Center,PROPN,O
983,60,stay,VERB,O
984,60,for,ADP,O
985,60,Acanthamoeba,PROPN,O
986,60,infection,NOUN,O
987,60,of,ADP,O
988,60,skin,NOUN,O
989,60,and,CCONJ,O
990,60,sinuses,NOUN,O
991,60,",",PUNCT,O
992,60,complicated,VERB,O
993,60,by,ADP,O
994,60,ARS,PROPN,B
995,60,due,ADP,O
996,60,to,ADP,O
997,60,medication,NOUN,B
998,60,toxicity,NOUN,O
999,60,",",PUNCT,O
1000,60,as,ADV,O
1001,60,well,ADV,O
1002,60,as,ADP,O
1003,60,GVHD,PROPN,O
1004,60,and,CCONJ,O
1005,60,recent,ADJ,O
1006,60,CMV,PROPN,O
1007,60,infection,NOUN,O
1008,60,",",PUNCT,O
1009,60,readmitted,VERB,O
1010,60,for,ADP,O
1011,60,new,ADJ,O
1012,60,fever,NOUN,O
1013,60,",",PUNCT,O
